39421,-5837,-6747,-18941,15410,6513,-3128,-15757,22480,20217
-65634,1631,23711,54439,-51694,-80831,-65291,51894,-27783,-69348
15423,-3071,11693,2627,25342,-36150,-15854,27005,-19727,3278
46,16982,-101,-10673,26888,-25559,-2956,5418,10245,-11562
12800,21021,14890,15268,-29294,-25118,-5043,-15207,-3047,6581
-3898,-42873,22747,53503,-63258,-46028,-59811,44061,7614,8929
19773,-22867,-16853,18676,-12359,6226,-40599,29610,-829,6223
5150,-5694,-830,-23296,50642,-24823,11559,-6622,4218,-3068
-9267,-2411,-27573,-57249,32010,5048,60407,28197,-37616,-42184
8426,-56522,35855,43932,-108929,-49258,-59662,23357,20286,41503
7071,-46859,-20631,6790,-31344,16116,-62915,24602,5141,29844
8243,45969,-14917,-59726,68696,-21769,26876,-15085,-9861,-33147
-26246,25590,5442,-59104,12154,29558,34256,23530,-23416,-64334
47338,-32431,14943,2127,-109594,16677,-51133,-6532,12512,74568
21072,-89079,-3573,-4024,-39169,37044,-31120,25924,6144,29524
899,64455,-17521,-15447,63594,-64138,-2102,6668,-22167,-7887
3992,-6754,12939,-35054,-43214,9030,46861,8440,-19192,25759
19906,-53437,-8282,-11981,-34565,8393,-8393,3232,-5677,23933
10737,-26127,-36534,-36853,-14092,27494,-9294,28115,21443,-4778
33134,-10984,10213,10432,38030,-89830,-61898,-2456,-3183,27995
-9774,25106,22336,37582,-8821,-18185,-23005,-4868,-26869,-19672
-53138,-18387,47464,39063,-34914,-43102,-110838,45238,-8638,-25909
-9337,30447,53410,24078,-16855,-40316,-62388,26018,-15499,-81759
9065,-6692,4471,-32733,16541,-5073,766,-23555,7897,18694
-31096,23997,45256,88761,-81067,-46515,-19242,-9629,-59023,-46504
18361,5263,26327,-12409,-957,-13545,-41179,40506,-8177,-6174
-45802,43951,44106,33578,-49845,-11372,-69073,21839,16609,-49681
14368,-21206,-16538,-43825,41464,-2830,38743,-52095,7594,10240
-43402,-5889,27204,-5013,-20376,-24655,14406,44257,-27898,-14395
20575,-8002,3143,-30783,2166,16853,-24497,-4706,19402,-1411
-60163,-83848,14388,-26372,19880,36867,3674,-8045,29582,16095
16553,18866,14426,-27562,25345,-11682,29063,-54756,-8256,-22081
12022,-51638,-30237,-105346,-50807,96834,82665,-69630,-22646,-38147
11839,3083,-47650,5664,-21226,40485,15410,-5301,-9418,-7029
-55869,-128452,-41841,5951,-37050,60186,54957,18775,24792,-19973
-16470,13509,38752,-5039,34668,-31175,8256,-16516,2190,-6007
-123614,46399,-71618,-14092,-32000,124951,72156,-48778,-38619,-6028
-6741,-50791,-44380,-5198,-23927,44080,32042,-1558,2410,6369
-23200,17820,-32129,-47787,-33396,36898,65462,-9122,-17198,-65669
7157,-33098,29144,-16358,31625,-15715,2561,-15392,-14027,20736
-56422,24078,55032,40298,-46374,12619,-48833,4127,2353,-37754
-59244,-14823,-10236,36876,21388,39359,-50591,-2912,-12328,23318
-140868,25700,36013,35986,-41775,31180,-142305,7483,38424,-32624
16881,-17661,-12741,30069,9253,-6263,-2895,-7638,-6798,7455
-68701,37052,22037,23202,-75160,-26336,-53718,45364,-29213,-21733
-22157,-43473,-40937,27734,17868,19057,-41233,-47816,-4637,47693
-75804,-53806,14766,-886,6060,1554,-64486,-4225,436,55121
14639,28003,-33287,-1308,-33209,-13428,11259,18039,-4128,-26659
52969,-69152,-1940,84,-5160,2508,-42520,52747,-132276,16432
-29767,-42119,-20362,-14056,24386,8642,2918,-70342,40515,60251
10817,-140052,12762,-54978,47758,-9973,13393,-48442,20770,16536
26782,24796,1810,-35451,-25216,-14186,-31785,55900,-14020,-48506
76986,-61446,13417,-14023,-105667,64290,21732,-82352,-11581,-61870
-49420,-7698,-27134,19517,22856,11180,35863,-42382,49001,-9949
22323,-93693,14819,-11527,-2396,16580,35766,-5784,-1009,-59740
51783,-33605,9925,-30797,-14131,37668,15880,56722,-42723,-35741
-151883,32503,-16672,46310,-45052,57512,-35158,-68610,78040,-22506
-19502,-53815,-21208,26555,23531,18843,31773,17515,29354,-47276
-86701,25355,29130,-6147,19754,7707,985,67872,-14932,-107792
4106,-10859,-37195,12985,-2765,43878,26939,-7277,-6929,-35618
-48723,47994,-48616,9793,5434,7241,-21305,6754,18086,18957
-4921,-55689,-43834,22555,28343,-5470,11831,43877,-29201,4832
-79548,20936,-81788,84740,-16881,58917,-69256,26217,-60835,40230
-1148,-1593,-11236,-10975,-34717,-27422,9220,40823,13936,-25512
-75651,24444,-30736,35060,22552,20072,-125112,14244,-65336,20175
-22187,1198,-25543,26816,22600,8086,-21421,-9990,-17653,24447
-20319,3419,-68474,57112,-28873,51032,-32172,-44931,-87327,35341
-5081,29448,-26000,-1121,-18061,-407,4728,-15191,48680,-33008
-3313,-43936,-14301,43693,-17752,14889,-43283,5338,-52773,4833
-277,-26761,12326,-20712,7543,-10241,18266,-23590,14792,-208
38703,-58351,-33613,15022,5943,21637,23566,-42004,-45733,14729
34474,14775,-31535,-24833,7593,-7489,-26538,5840,-6611,11320
1402,17562,3210,-15392,8902,-28105,-63800,19130,11603,13552
-7287,-3502,22530,-3185,1411,-20237,3345,4074,28313,-41939
10846,39979,-7338,17073,-7165,-10060,30709,-31508,-14305,-45842
24917,-48174,-17629,25905,-19442,34711,-24596,-1,22033,4500
-8509,7188,39855,-41283,20899,-53462,-41305,28312,37722,69
-2238,12115,88683,-26040,21145,-39535,-6328,61,-25295,-73219
-27810,46883,82152,-77773,17148,-28257,-38854,-12374,-5755,-6303
-37478,25660,-12732,11342,-12655,-6754,202,-35679,53836,-28178
-10449,-10648,-38258,-12458,24906,7251,18311,-7854,-21411,19450
42442,-8178,38135,-28036,-18969,4580,4112,-64601,19230,-29840
-25566,-55256,-57654,8331,-29080,24800,35555,-13064,-45346,21182
-8896,-17150,-13534,-25250,1210,-1773,35128,16954,-9736,15071
-57779,38640,15771,4328,9925,-4308,-36719,-1273,-25138,3397
40794,21936,15832,-14310,-33404,-11993,21149,-53770,37489,-38225
1210,-22380,-29150,41762,-49316,19699,20162,-70572,2761,-6747
-23324,37679,-41673,-51972,41621,-59607,-377,41608,-207,10215
-12099,19943,54519,-9011,-5434,-18674,13180,-6452,-71810,-1746
36491,1578,23653,241,-12608,-7340,16452,-58735,27856,-55041
43964,-74716,-6437,16692,-82922,22775,8329,-113838,43161,-41298
-114017,8634,-53401,-35122,66832,-43359,-124675,39258,-45676,43085
43288,-19436,24937,-3585,-9961,-31082,25555,-3264,-31990,19572
12712,29090,47762,-27749,-264,-22134,36604,-18104,20755,-28493
20223,-12627,9008,-16550,-37952,1131,-3236,-26882,27146,-3345
-37177,8944,-36395,-29472,38257,-11386,-67115,44935,-20702,41219
46335,7608,-8012,14100,-19594,-30236,30169,21384,-12799,-19292
-5140,24550,68601,-46006,28190,-44962,-12267,-26169,-11614,11207
19036,-8124,55959,-55577,8452,-28925,-32578,-10546,-20745,37414
-62397,34411,4667,-27192,40861,-26619,-26152,24714,-6154,13468
